id,lat,lon,user,uid,version,changeset,timestamp
82210694,32.937585,-96.718572,woodpeck_fixbot,147510,3,3346807,2009-12-11T06:43:09Z
82221983,32.478637,-96.553396,woodpeck_fixbot,147510,2,2230268,2009-08-22T06:07:59Z
82233453,32.9816538,-96.856289,Stephen214,4018842,3,39959952,2016-06-11T20:21:06Z
82244657,32.9479945,-96.855678,Stephen214,4018842,3,43259504,2016-10-29T04:45:31Z
82259305,32.512708,-97.580588,woodpeck_fixbot,147510,2,3172769,2009-11-20T23:59:06Z
82275732,32.42225,-97.33092,woodpeck_fixbot,147510,2,3172769,2009-11-21T00:02:32Z
82291670,32.1809,-97.475885,woodpeck_fixbot,147510,2,2187236,2009-08-18T10:13:26Z
82306702,32.491532,-97.23022,woodpeck_fixbot,147510,2,3172769,2009-11-21T00:11:50Z
82320873,32.190485,-97.481824,woodpeck_fixbot,147510,2,3172769,2009-11-21T00:16:11Z
82334974,32.7230863,-97.7812624,woodpeck_fixbot,147510,3,3369003,2009-12-14T03:21:36Z
82348194,32.346198,-97.378192,woodpeck_fixbot,147510,2,3172769,2009-11-21T00:26:00Z
82362150,33.311689,-97.672285,woodpeck_fixbot,147510,2,2845779,2009-10-14T14:42:57Z
82377282,32.896321,-97.33029,NE2,207745,3,7459922,2011-03-05T03:59:02Z
82392529,32.690043,-97.539988,woodpeck_fixbot,147510,2,3564140,2010-01-07T18:31:47Z
82408147,32.9006489,-97.1737688,woodpeck_fixbot,147510,3,3535930,2010-01-04T10:48:51Z
82424315,32.744116,-97.303074,woodpeck_fixbot,147510,3,3564140,2010-01-07T18:45:51Z
82437477,33.284419,-97.665555,woodpeck_fixbot,147510,2,3536655,2010-01-04T12:23:15Z
82450857,32.940754,-97.10526,woodpeck_fixbot,147510,2,3225776,2009-11-27T07:00:04Z
82466175,32.6173112,-97.1004779,RoadGeek_MD99,475877,3,25518519,2014-09-18T11:31:21Z
82481791,32.935274,-97.125552,woodpeck_fixbot,147510,2,3225776,2009-11-27T07:04:06Z
82498322,32.667577,-97.180014,woodpeck_fixbot,147510,2,3535955,2010-01-04T11:01:56Z
82514868,32.779693,-97.072674,woodpeck_fixbot,147510,2,3225776,2009-11-27T07:08:31Z
82528840,32.708799,-97.121214,woodpeck_fixbot,147510,3,3225776,2009-11-27T07:10:40Z
82547332,32.671684,-97.443853,woodpeck_fixbot,147510,2,3535955,2010-01-04T11:31:29Z
82571181,32.7203522,-97.1396749,bobwmson,584136,3,10440647,2012-01-19T20:15:09Z
82588115,32.8972873,-97.2139919,rickmastfan67,252811,4,20987974,2014-03-08T14:29:03Z
82610669,32.873359,-97.15858,woodpeck_fixbot,147510,2,3536198,2010-01-04T11:29:39Z
82627240,32.697654,-97.083947,woodpeck_fixbot,147510,2,3536198,2010-01-04T11:41:29Z
82646076,32.671923,-97.180107,woodpeck_fixbot,147510,2,3225776,2009-11-27T07:20:18Z
82661239,32.761135,-97.320956,woodpeck_fixbot,147510,2,3536198,2010-01-04T12:03:31Z
82678152,32.724876,-97.424796,woodpeck_fixbot,147510,2,3564140,2010-01-07T19:21:59Z
82694011,32.576818,-97.192948,woodpeck_fixbot,147510,2,3564140,2010-01-07T19:30:06Z
82710722,32.695843,-97.069608,woodpeck_fixbot,147510,2,3536357,2010-01-04T11:57:52Z
82727194,32.590128,-97.240931,woodpeck_fixbot,147510,2,3536357,2010-01-04T12:04:23Z
82741774,32.557966,-97.0736944,abel801,2377377,3,31871798,2015-06-10T14:24:58Z
82759378,32.5852543,-97.0403008,AgentBlue,2425490,4,33498852,2015-08-22T05:37:53Z
82775860,32.641947,-97.170712,woodpeck_fixbot,147510,2,3536563,2010-01-04T12:11:31Z
82789238,32.711771,-97.444198,woodpeck_fixbot,147510,2,3536563,2010-01-04T12:18:17Z
150061601,33.105328,-96.584026,woodpeck_fixbot,147510,2,3024090,2009-11-03T12:05:21Z
150087421,33.076763,-96.8079369,Saikrishna,586822,3,22943419,2014-06-15T12:37:27Z
150108158,33.003556,-96.804045,woodpeck_fixbot,147510,2,3024090,2009-11-03T12:10:27Z
150129468,33.0109694,-96.6427606,ZargonGod,554333,3,14689322,2013-01-17T21:13:07Z
150152206,33.330022,-96.58154,woodpeck_fixbot,147510,2,3426186,2009-12-22T11:28:57Z
150175742,33.0880016,-96.8204736,BigIrv,160087,3,13641341,2012-10-26T18:07:28Z
150198954,33.023705,-96.821335,woodpeck_fixbot,147510,2,3110812,2009-11-14T07:01:29Z
150222103,33.0366696,-96.8112039,Saikrishna,586822,3,16562235,2013-06-15T12:11:19Z
150245259,32.991994,-96.719955,woodpeck_fixbot,147510,2,3426186,2009-12-22T11:44:48Z
150272351,33.025754,-96.825519,woodpeck_fixbot,147510,2,3426186,2009-12-22T11:49:03Z
150307675,33.0211279,-96.624743,ToffeHoff,7203,3,6908064,2011-01-08T19:54:26Z
150344781,33.0738915,-96.6529804,johnprichard,446748,3,8004367,2011-04-29T15:21:41Z
150375673,33.0728148,-96.6636609,Mara,145781,4,10905626,2012-03-08T01:56:12Z
150400450,33.041534,-96.832945,woodpeck_fixbot,147510,2,3426186,2009-12-22T12:09:51Z
152379577,32.894295,-96.340619,woodpeck_fixbot,147510,2,2952841,2009-10-26T01:14:18Z
152415644,32.980583,-96.329738,woodpeck_fixbot,147510,2,2952841,2009-10-26T01:25:43Z
224155492,33.397077,-96.308302,woodpeck_fixbot,147510,2,2962214,2009-10-27T02:08:11Z
225424455,32.48077,-97.786994,woodpeck_fixbot,147510,2,2532224,2009-09-19T10:36:51Z
225546550,32.422431,-97.626141,woodpeck_fixbot,147510,2,2358187,2009-09-03T11:38:10Z
225645613,32.397191,-97.745895,woodpeck_fixbot,147510,2,2358187,2009-09-03T11:45:12Z
225970122,32.582025,-96.22202,woodpeck_fixbot,147510,2,2453305,2009-09-12T03:30:56Z
226029723,32.759942,-96.187285,woodpeck_fixbot,147510,2,2453305,2009-09-12T03:38:03Z
226097071,32.380867,-96.409965,woodpeck_fixbot,147510,2,2195475,2009-08-18T22:26:59Z
226172940,32.569116,-96.147542,woodpeck_fixbot,147510,2,2453305,2009-09-12T03:52:13Z
226241556,32.53129,-96.433277,woodpeck_fixbot,147510,2,2453305,2009-09-12T03:59:25Z
226307550,32.550808,-96.427589,woodpeck_fixbot,147510,2,2453305,2009-09-12T04:06:47Z
226366047,32.814331,-96.130858,woodpeck_fixbot,147510,2,2453305,2009-09-12T04:14:44Z
228407928,32.254531,-97.709938,woodpeck_fixbot,147510,2,2561148,2009-09-21T19:59:32Z
228531344,32.294624,-97.687329,woodpeck_fixbot,147510,2,2561148,2009-09-21T20:29:24Z
235664054,32.203305,-96.464103,woodpeck_fixbot,147510,2,2853919,2009-10-15T13:06:08Z
277594029,32.9014555,-97.0412517,dwh1985,3176959,2,43304436,2016-10-31T13:46:54Z
