id,node_id,position
9546564,73785846,0
9546564,73826198,1
9546564,73826201,2
9546564,73826203,3
9945635,81633292,0
9945635,81647663,1
9945635,81647665,2
9945635,81647667,3
9945635,81647669,4
9945635,81647670,5
9945635,81647671,6
9945635,81647673,7
9945635,81633299,8
9957821,81739866,0
9957821,81739867,1
9957821,81739869,2
9957821,81739871,3
9957821,81739873,4
9969747,81823721,0
9969747,81862112,1
9981689,81811339,0
9981689,81983211,1
9981689,81983210,2
9981689,81983209,3
9981689,81983208,4
9981689,81983206,5
9981689,4509891143,6
9981689,81983204,7
9981689,81983202,8
9981689,81965356,9
9993780,82077539,0
9993780,82077541,1
10005596,82099759,0
10005596,82159351,1
10005596,82159353,2
10005596,82120898,3
10005596,82159355,4
10005596,82159356,5
10005596,82159358,6
10005596,82159359,7
10005596,82159361,8
10005596,82159363,9
10018036,82273278,0
10018036,82273280,1
10018036,82273281,2
10018036,82273282,3
10032952,82402875,0
10032952,82402877,1
10032952,82402879,2
10032952,82402880,3
10032952,82402881,4
10032952,82402883,5
10047458,82537526,0
10047458,82537527,1
10047458,82488127,2
10047458,82537529,3
10062713,82640581,0
10062713,82640531,1
10062713,82694068,2
10062713,82694069,3
10062713,82694070,4
10062713,82694071,5
10062713,82694072,6
10062713,82694073,7
15175342,150073814,0
15175342,150073816,1
15175342,150073818,2
15175342,150073797,3
15175342,150073820,4
15175342,150073822,5
15175342,150073824,6
15175342,150073826,7
15175342,150073828,8
15175342,150073830,9
15175342,150073832,10
15175342,150073833,11
15175342,150073835,12
15208936,150323505,0
15208936,150339826,1
15208936,150339828,2
15208936,150339831,3
15208936,150209517,4
20997705,225637845,0
20997705,225684755,1
20997705,225563423,2
20997705,225684761,3
20997705,2308836167,4
20997705,225684764,5
20997705,225684767,6
20997705,225684772,7
20997705,225447477,8
20997705,225684775,9
20997705,225684778,10
20997705,225684781,11
20997705,225684784,12
20997705,225684788,13
20997705,225684792,14
20997705,225684797,15
20997705,225684804,16
20997705,225684810,17
20997705,225684816,18
20997705,225684823,19
20997705,225640620,20
20997705,225684827,21
20997705,225684832,22
20997705,225684836,23
20997705,225684840,24
